year,infant_mortality_wb
1960,44.9
1961,40.4
1962,36.8
1963,34.2
1964,32.4
1965,31.4
1966,31.1
1967,30.9
1968,30.2
1969,28.9
1970,27.5
1971,26.4
1972,25.7
1973,25.2
1974,24.7
1975,24.1
1976,23.5
1977,22.7
1978,21.8
1979,20.7
1980,19.6
1981,18.8
1982,18.1
1983,17.4
1984,16.6
1985,15.8
1986,15.0
1987,14.4
1988,14.1
1989,14.3
1990,14.6
1991,15.0
1992,15.3
1993,15.4
1994,15.4
1995,15.5
1996,15.6
1997,15.6
1998,15.4
1999,14.9
2000,14.3
2001,13.7
2002,13.2
2003,12.5
2004,11.8
2005,11.0
2006,10.4
2007,9.9
2008,9.5
2009,9.3
2010,9.1
2011,8.7
2012,8.3
2013,7.8
2014,7.3
2015,6.8
2016,6.4
2017,6.1
2018,5.8
2019,5.5
2020,5.3
2021,5.2
2022,5.0
2023,4.8
2024,4.6
2025,
