year,population_total,life_expectancy,fertility_rate,infant_mortality
1960,7867374.0,69.2475609756098,2.31,44.9
1961,7943118.0,70.1956097560976,2.29,40.4
1962,8012946.0,69.4919512195122,2.24,36.8
1963,8078145.0,70.3092682926829,2.21,34.2
1964,8144340.0,71.1212195121951,2.19,32.4
1965,8204168.0,71.2939024390244,2.09,31.4
1966,8258057.0,71.2234146341464,2.03,31.1
1967,8310226.0,70.4139024390244,2.02,30.9
1968,8369603.0,71.2251219512195,2.27,30.2
1969,8434172.0,70.43,2.27,28.9
1970,8489574.0,71.2563414634146,2.17,27.5
1971,8536395.0,70.8736585365854,2.1,26.4
1972,8576200.0,70.899512195122,2.03,25.7
1973,8620967.0,71.3421951219512,2.15,25.2
1974,8678745.0,71.2080487804878,2.29,24.7
1975,8720742.0,71.049756097561,2.23,24.1
1976,8758599.0,71.3948780487805,2.24,23.5
1977,8804183.0,70.8160975609756,2.21,22.7
1978,8814032.0,71.1846341463415,2.15,21.8
1979,8825940.0,71.3082926829268,2.16,20.7
1980,8861535.0,71.1575609756098,2.05,19.6
1981,8891117.0,71.5719512195122,2.0,18.8
1982,8917457.0,71.1860975609756,2.01,18.1
1983,8939738.0,71.3863414634146,2.01,17.4
1984,8960679.0,71.499756097561,2.01,16.6
1985,8960547.0,71.2280487804878,1.97,15.8
1986,8958171.0,71.7307317073171,2.02,15.0
1987,8971359.0,71.5268292682927,1.96,14.4
1988,8981446.0,71.6043902439024,1.97,14.1
1989,8876972.0,71.7224390243903,1.9,14.3
1990,8718289.0,71.6414634146342,1.82,14.6
1991,8632367.0,71.5609756097561,1.66,15.0
1992,8540164.0,71.4943902439024,1.55,15.3
1993,8472313.0,71.3468292682927,1.46,15.4
1994,8443591.0,71.2087804878049,1.37,15.4
1995,8406067.0,71.0534146341463,1.23,15.5
1996,8362826.0,70.8973170731707,1.23,15.6
1997,8312068.0,70.3512195121951,1.09,15.6
1998,8256786.0,71.0609756097561,1.11,15.4
1999,8210624.0,71.4121951219512,1.23,14.9
2000,8170172.0,71.6634146341463,1.26,14.3
2001,8009142.0,71.7682926829268,1.21,13.7
2002,7837161.0,71.8658536585366,1.23,13.2
2003,7775327.0,72.0658536585366,1.26,12.5
2004,7716860.0,72.5634146341463,1.33,11.8
2005,7658972.0,72.5609756097561,1.37,11.0
2006,7601022.0,72.6121951219512,1.44,10.4
2007,7545338.0,72.6634146341463,1.49,9.9
2008,7492561.0,72.9634146341463,1.56,9.5
2009,7444443.0,73.4121951219512,1.66,9.3
2010,7395599.0,73.5121951219512,1.57,9.1
2011,7348328.0,74.1634146341463,1.51,8.7
2012,7305888.0,74.3146341463415,1.5,8.3
2013,7160005.0,74.8609756097561,1.54,7.8
2014,7073572.0,74.4658536585366,1.62,7.3
2015,6984225.0,74.6146341463415,1.64,6.8
2016,6894139.0,74.8121951219512,1.67,6.4
2017,6803468.0,74.8146341463415,1.71,6.1
2018,6710798.0,74.9634146341464,1.73,5.8
2019,6616726.0,75.1121951219512,1.79,5.5
2020,6550696.0,73.3560975609756,1.77,5.3
2021,6507301.0,71.2121951219512,1.8,5.2
2022,6465097.0,74.1609756097561,1.78,5.0
2023,6446596.0,75.7560975609756,1.81,4.8
2024,6441421.0,75.7609756097561,1.72,4.6
2025,,,,
