STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2010,,9.4,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2011,,8.5,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2012,,7.8,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2013,,7.3,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2014,,7.6,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2015,,6.6,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2016,,6.5,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2017,,6.4,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2018,,5.8,,,,,
dataflow,ESTAT:DEMO_MINFIND(1.0),Infant mortality rates,A,Annual,RT,Rate,INFMORRT,Infant mortality rate,BG,Bulgaria,2019,,5.6,,,,,
