STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2005,,1.37,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2006,,1.44,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2007,,1.49,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2008,,1.56,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2009,,1.66,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2010,,1.57,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2011,,1.51,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2012,,1.50,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2013,,1.54,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2014,,1.62,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2015,,1.64,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2016,,1.67,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2017,,1.71,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2018,,1.73,,,,,
dataflow,ESTAT:DEMO_FIND(1.0),Fertility indicators,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2019,,1.79,,,,,
